ANNEE,ID_TMS,"Type de mission",COD_MSN,Mission,COD_PGM,Programme,"code action",action,"code sous-action","sous action"
2014,1,"Budget général",AB,"Administration générale et territoriale de l'État",232,"Vie politique, cultuelle et associative",02,"Organisation des élections",04,"Elections sénatoriales générales"
2014,1,"Budget général",AB,"Administration générale et territoriale de l'État",232,"Vie politique, cultuelle et associative",02,"Organisation des élections",05,"Elections cantonales générales"
2014,1,"Budget général",AB,"Administration générale et territoriale de l'État",232,"Vie politique, cultuelle et associative",02,"Organisation des élections",06,"Elections municipales générales"
2014,1,"Budget général",AB,"Administration générale et territoriale de l'État",232,"Vie politique, cultuelle et associative",02,"Organisation des élections",07,Référendums
2014,1,"Budget général",AB,"Administration générale et territoriale de l'État",232,"Vie politique, cultuelle et associative",02,"Organisation des élections",09,"Elections régionales générales et assemblée de Corse"
2014,1,"Budget général",AB,"Administration générale et territoriale de l'État",232,"Vie politique, cultuelle et associative",02,"Organisation des élections",10,"Elections partielles (législatives, sénatoriales, cantonales, municipales, régionales, territoriales et provinciales)"
2014,1,"Budget général",AB,"Administration générale et territoriale de l'État",232,"Vie politique, cultuelle et associative",02,"Organisation des élections",11,"Elections : dépenses communes"
2014,1,"Budget général",AB,"Administration générale et territoriale de l'État",232,"Vie politique, cultuelle et associative",02,"Organisation des élections",12,"Systèmes d'information et de communication"
2014,1,"Budget général",AB,"Administration générale et territoriale de l'État",232,"Vie politique, cultuelle et associative",02,"Organisation des élections",13,"Elections territoriales en outre-mer"
2014,1,"Budget général",AB,"Administration générale et territoriale de l'État",232,"Vie politique, cultuelle et associative",03,"Commission nationale des comptes de campagne et des financements politiques",,
2014,1,"Budget général",AB,"Administration générale et territoriale de l'État",232,"Vie politique, cultuelle et associative",04,Cultes,01,Immobilier
2014,1,"Budget général",AB,"Administration générale et territoriale de l'État",232,"Vie politique, cultuelle et associative",04,Cultes,02,Soutien
2014,1,"Budget général",AB,"Administration générale et territoriale de l'État",232,"Vie politique, cultuelle et associative",05,"Vie associative",,
2014,1,"Budget général",AB,"Administration générale et territoriale de l'État",232,"Vie politique, cultuelle et associative",99,"Dépenses de personnel du programme à reventiler",,
2014,1,"Budget général",AB,"Administration générale et territoriale de l'État",307,"Administration territoriale",01,"Coordination de la sécurité des personnes et des biens",02,"Sécurité nationale"
2014,1,"Budget général",AB,"Administration générale et territoriale de l'État",307,"Administration territoriale",01,"Coordination de la sécurité des personnes et des biens",03,"Règlementation relative à la sécurité"
2014,1,"Budget général",AB,"Administration générale et territoriale de l'État",307,"Administration territoriale",02,"Réglementation générale, garantie de l'identité et de la nationalité et délivrance des titres",02,"Système d'immatriculation des véhicules"
2014,1,"Budget général",AB,"Administration générale et territoriale de l'État",307,"Administration territoriale",02,"Réglementation générale, garantie de l'identité et de la nationalité et délivrance des titres",04,"Garantie de l'identité et de la nationalité, délivrance de titres"
2014,1,"Budget général",AB,"Administration générale et territoriale de l'État",307,"Administration territoriale",02,"Réglementation générale, garantie de l'identité et de la nationalité et délivrance des titres",05,"Elections, vie politique et associations"
2014,1,"Budget général",AB,"Administration générale et territoriale de l'État",307,"Administration territoriale",02,"Réglementation générale, garantie de l'identité et de la nationalité et délivrance des titres",06,"Réglementation générale (hors sécurité)"
2014,1,"Budget général",AB,"Administration générale et territoriale de l'État",307,"Administration territoriale",03,"Contrôle de légalité et conseil aux collectivités territoriales",02,"Contrôle de légalité et conseils aux collectivités territoriales"
2014,1,"Budget général",AB,"Administration générale et territoriale de l'État",307,"Administration territoriale",04,"Pilotage territorial des politiques gouvernementales",01,"Gestion des programmes européens - PRESAGE"
2014,1,"Budget général",AB,"Administration générale et territoriale de l'État",307,"Administration territoriale",04,"Pilotage territorial des politiques gouvernementales",04,"Animation des politiques interministérielles (hors Union européenne)"
2014,1,"Budget général",AB,"Administration générale et territoriale de l'État",307,"Administration territoriale",04,"Pilotage territorial des politiques gouvernementales",06,"Mutualisation des crédits de fonctionnement"
2014,1,"Budget général",AB,"Administration générale et territoriale de l'État",307,"Administration territoriale",04,"Pilotage territorial des politiques gouvernementales",07,"Communication et représentation de l'Etat"
2014,1,"Budget général",AB,"Administration générale et territoriale de l'État",307,"Administration territoriale",04,"Pilotage territorial des politiques gouvernementales",09,"Gestion des programmes européens - Assistance technique"
2014,1,"Budget général",AB,"Administration générale et territoriale de l'État",307,"Administration territoriale",05,"Animation et soutien du réseau",01,Informatique
2014,1,"Budget général",AB,"Administration générale et territoriale de l'État",307,"Administration territoriale",05,"Animation et soutien du réseau",02,Immobilier
2014,1,"Budget général",AB,"Administration générale et territoriale de l'État",307,"Administration territoriale",05,"Animation et soutien du réseau",05,"Dépenses des hauts commissariats et représentations de l'Etat dans les collectivités d'outre-mer et à Mayotte (hors DOM et collectivité territoriale de Saint-Pierre-et-Miquelon)"
2014,1,"Budget général",AB,"Administration générale et territoriale de l'État",307,"Administration territoriale",05,"Animation et soutien du réseau",06,"Animation du réseau des préfectures et mesures nationales"
2014,1,"Budget général",AB,"Administration générale et territoriale de l'État",307,"Administration territoriale",05,"Animation et soutien du réseau",07,"Fonctionnement courant des préfectures"
2014,1,"Budget général",AB,"Administration générale et territoriale de l'État",307,"Administration territoriale",05,"Animation et soutien du réseau",08,Formation
2014,1,"Budget général",AB,"Administration générale et territoriale de l'État",307,"Administration territoriale",05,"Animation et soutien du réseau",09,"Action sociale"
2014,1,"Budget général",AB,"Administration générale et territoriale de l'État",307,"Administration territoriale",05,"Animation et soutien du réseau",10,Transports
2014,1,"Budget général",AB,"Administration générale et territoriale de l'État",307,"Administration territoriale",99,"Dépenses de personnel du programme à reventiler",,
2014,1,"Budget général",AC,"Agriculture, alimentation, forêt et affaires rurales",149,Forêt,11,"Gestion des forêts publiques et protection de la forêt",11,"ONF – Versement Compensateur"
2014,1,"Budget général",AC,"Agriculture, alimentation, forêt et affaires rurales",149,Forêt,11,"Gestion des forêts publiques et protection de la forêt",12,"ONF - Missions d'intérêt général"
2014,1,"Budget général",AC,"Agriculture, alimentation, forêt et affaires rurales",149,Forêt,11,"Gestion des forêts publiques et protection de la forêt",13,"ONF - Autres subventions"
2014,1,"Budget général",AC,"Agriculture, alimentation, forêt et affaires rurales",149,Forêt,11,"Gestion des forêts publiques et protection de la forêt",14,"Défense des forêts contre les incendies (DFCI) cofinancée"
2014,1,"Budget général",AC,"Agriculture, alimentation, forêt et affaires rurales",149,Forêt,11,"Gestion des forêts publiques et protection de la forêt",15,"Restauration des terrains en montagne (RTM) cofinancée"
2014,1,"Budget général",AC,"Agriculture, alimentation, forêt et affaires rurales",149,Forêt,11,"Gestion des forêts publiques et protection de la forêt",16,"Défense des forêts contre les incendies (DFCI)  non cofinancée"
2014,1,"Budget général",AC,"Agriculture, alimentation, forêt et affaires rurales",149,Forêt,11,"Gestion des forêts publiques et protection de la forêt",17,"Restauration des terrains en montagne (RTM) non cofinancée"
2014,1,"Budget général",AC,"Agriculture, alimentation, forêt et affaires rurales",149,Forêt,11,"Gestion des forêts publiques et protection de la forêt",18,"Acquisition de forêt par l'Etat ou les collectivités territoriales"
2014,1,"Budget général",AC,"Agriculture, alimentation, forêt et affaires rurales",149,Forêt,11,"Gestion des forêts publiques et protection de la forêt",19,"Classement et lutte phytosanitaire"
2014,1,"Budget général",AC,"Agriculture, alimentation, forêt et affaires rurales",149,Forêt,12,"Développement économique de la filière et gestion durable",22,"Chablis Klaus"
2014,1,"Budget général",AC,"Agriculture, alimentation, forêt et affaires rurales",149,Forêt,12,"Développement économique de la filière et gestion durable",25,"Centre national de la propriété forestière (CNPF)"
2014,1,"Budget général",AC,"Agriculture, alimentation, forêt et affaires rurales",149,Forêt,12,"Développement économique de la filière et gestion durable",26,"Soutiens aux organismes, études, recherche"
