Gestion;2015;;;;;;;;
Type Budget;Budget général;;;;;;;;
;;;;;;Données;;;
Mission;Programme;Action;Libellé action;Sous-action;Libellé SSA;AELF 2014;AEPLF; CPLF 2014; CPPLF
Défense;146;6;Dissuasion;23;Assurer la crédibilité technique de la posture - toutes opérations;408 332 420;431 174 729;189 259 372;47 504 900
Défense;146;7;Commandement et maîtrise de l'information;0;Assurer la crédibilité technique de la posture - toutes opérations;1 597 265 813;4 093 931 183;1 275 958 927;558 846 785
Défense;146;7;Commandement et maîtrise de l'information;24;Commander et conduire - Système de commandement et de conduite des opérations aériennes (SCCOA);213 320 000;621 758 053;172 262 622;0
Défense;146;7;Commandement et maîtrise de l'information;25;Commander et conduire - Système d'information TERRE;3 430 000;12 809 197;60 806 034;53 683 355
Défense;146;7;Commandement et maîtrise de l'information;27;Commander et conduire - Géographie numérique;40 000 000;120 600 000;38 085 340;30 965 013
Défense;146;7;Commandement et maîtrise de l'information;28;Commander et conduire - Autres opérations;164 014;0;53 404 667;36 416 853
Défense;146;7;Commandement et maîtrise de l'information;29;Commander et conduire - Système d'information des armées (SIA);347 000 000;345 200 000;93 656 257;81 832 042
Défense;146;7;Commandement et maîtrise de l'information;32;Communiquer - SYRACUSE III;68 845 000;74 597 600;105 515 035;0
Défense;146;7;Commandement et maîtrise de l'information;33;Communiquer - Moyen d'élongation pour les communications HF interarmées et OTAN en réseau (MELCHIOR);5 880 000;24 200 000;21 609 695;0
Défense;146;7;Commandement et maîtrise de l'information;35;Communiquer - Autres opérations;461 629 000;1 190 142 643;271 202 783;0
Défense;146;7;Commandement et maîtrise de l'information;36;Communiquer - CONTACT;0;335 000 000;75 674 075;1 193 633
Défense;146;7;Commandement et maîtrise de l'information;39;Renseigner, surveiller, acquérir et reconnaître - Autres opérations;456 997 799;1 073 423 690;361 431 519;241 143 857
Défense;146;7;Commandement et maîtrise de l'information;40;Renseigner, surveiller, acquérir et reconnaître - MUSIS;0;0;0;113 612 032
Défense;146;7;Commandement et maîtrise de l'information;41;Déploiement des Services de Communication et architecture des réseaux de télécommunications sécurisées (DESCARTES);0;121 200 000;8 380 704;0
Défense;146;7;Commandement et maîtrise de l'information;42;Capacité de Renseignement Electromagnétique Spatiale (CERES);0;175 000 000;13 930 196;0
Défense;146;8;Projection - mobilité - soutien;0;Capacité de Renseignement Electromagnétique Spatiale (CERES);1 703 251 748;3 626 981 645;925 599 966;988 684 563
Défense;146;8;Projection - mobilité - soutien;42;Projeter les forces - Avion de transport futur (A400M);319 200 000;794 039 727;381 824 539;430 485 083
Défense;146;8;Projection - mobilité - soutien;43;Projeter les forces - Autres opérations;46 720 000;128 600 000;62 436 219;79 122 984
Défense;146;8;Projection - mobilité - soutien;46;Assurer la mobilité - Rénovation Cougar;0;0;28 406 930;26 655 972
Défense;146;8;Projection - mobilité - soutien;47;Assurer la mobilité - Hélicoptère NH 90;784 969 159;1 038 200 000;281 281 721;279 693 779
Défense;146;8;Projection - mobilité - soutien;48;Assurer la mobilité - Autres opérations;55 998 094;40 345 685;45 288 591;42 044 261
