Gestion;2016;;;;;;;;;;;;;;;;;;;;
Type Budget;Budget général;;;;;;;;;;;;;;;;;;;;
;;;;;;Données;;;;;;;;;;;;;;;
Mission;Programme;Action;Libellé action;Sous-action;Libellé SSA;AELF 2015;AEPLF;AEAMT;AELF; CPLF 2015; CPPLF;CPAMT;CPLF;;;;;;;;
Conseil et contrôle de l'État;165;06;Soutien;0;Institution nationale des invalides : subventions;107 546 128;114 392 536;0;114 392 536;103 428 290;102 307 847;0;102 307 847;;;;;;;;
Conseil et contrôle de l'État;165;07;Cour nationale du droit d'asile;0;Institution nationale des invalides : subventions;22 865 727;23 715 608;0;23 715 608;22 865 727;23 715 608;0;23 715 608;;;;;;;;
Conseil et contrôle de l'État;340;01;Haut Conseil des finances publiques;0;Institution nationale des invalides : subventions;816 546;622 842;0;622 842;816 546;622 842;0;622 842;;;;;;;;
Crédits non répartis;551;01;Provision relative aux rémunérations publiques;0;Institution nationale des invalides : subventions;0;11 445 751;0;11 445 751;0;11 445 751;0;11 445 751;;;;;;;;
Crédits non répartis;552;01;Dépenses accidentelles et imprévisibles;0;Institution nationale des invalides : subventions;314 418 296;329 000 000;0;329 000 000;14 418 296;29 000 000;0;29 000 000;;;;;;;;
Culture;131;01;Soutien à la création, à la production et à la diffusion du spectacle vivant;0;Institution nationale des invalides : subventions;658 787 284;667 957 871;0;667 957 871;669 590 110;674 972 388;0;674 972 388;;;;;;;;
Culture;131;02;Soutien à la création, à la production et à la diffusion des arts plastiques;0;Institution nationale des invalides : subventions;60 750 297;67 716 167;0;67 716 167;66 475 106;70 843 406;0;70 843 406;;;;;;;;
Culture;175;01;Patrimoine monumental;0;Institution nationale des invalides : subventions;341 398 929;352 725 448;0;352 725 448;328 884 602;327 349 953;0;327 349 953;;;;;;;;
Culture;175;02;Architecture;0;Institution nationale des invalides : subventions;27 806 666;28 793 666;0;28 793 666;27 906 666;28 893 666;0;28 893 666;;;;;;;;
Culture;175;03;Patrimoine des musées de France;0;Institution nationale des invalides : subventions;331 287 072;344 443 512;0;344 443 512;339 710 402;339 387 271;0;339 387 271;;;;;;;;
Culture;175;04;Patrimoine archivistique et célébrations nationales;0;Institution nationale des invalides : subventions;23 799 753;43 757 583;0;43 757 583;24 784 753;28 365 254;0;28 365 254;;;;;;;;
Culture;175;07;Patrimoine linguistique;0;Institution nationale des invalides : subventions;2 935 833;2 911 333;0;2 911 333;2 935 833;2 911 333;0;2 911 333;;;;;;;;
Culture;175;08;Acquisition et enrichissement des collections publiques;0;Institution nationale des invalides : subventions;8 353 013;8 853 013;0;8 853 013;8 353 013;8 853 013;0;8 853 013;;;;;;;;
Culture;175;09;Patrimoine archéologique;0;Institution nationale des invalides : subventions;11 297 849;130 919 652;0;130 919 652;19 741 906;137 884 000;0;137 884 000;;;;;;;;
Culture;224;01;Soutien aux établissements d'enseignement supérieur et insertion professionnelle;0;Institution nationale des invalides : subventions;254 051 659;278 902 183;0;278 902 183;264 788 561;267 758 523;0;267 758 523;;;;;;;;
Culture;224;02;Soutien à la démocratisation et à l'éducation artistique et culturelle;0;Institution nationale des invalides : subventions;91 354 815;95 976 883;0;95 976 883;89 254 815;98 076 883;0;98 076 883;;;;;;;;
Culture;224;06;Action culturelle internationale;0;Institution nationale des invalides : subventions;6 082 359;5 926 959;0;5 926 959;6 082 359;5 926 959;0;5 926 959;;;;;;;;
Culture;224;07;Fonctions de soutien du ministère;0;Institution nationale des invalides : subventions;749 377 326;758 391 784;0;758 391 784;747 686 739;757 481 825;0;757 481 825;;;;;;;;
Défense;144;03;Recherche et exploitation du renseignement intéressant la sécurité de la France;0;Institution nationale des invalides : subventions;280 696 403;249 510 771;0;249 510 771;268 477 774;234 310 770;0;234 310 770;;;;;;;;
Défense;144;03;Recherche et exploitation du renseignement intéressant la sécurité de la France;31;Renseignement extérieur;270 002 491;237 260 075;0;237 260 075;257 783 862;224 260 075;0;224 260 075;;;;;;;;
Défense;144;03;Recherche et exploitation du renseignement intéressant la sécurité de la France;32;Renseignement de sécurité de défense;10 693 912;12 250 696;0;12 250 696;10 693 912;10 050 695;0;10 050 695;;;;;;;;
Défense;144;07;Prospective de défense;0;Renseignement de sécurité de défense;1 034 032 131;992 415 624;0;992 415 624;1 030 032 131;1 009 695 499;0;1 009 695 499;;;;;;;;
Défense;144;07;Prospective de défense;1;Analyse stratégique;6 126 465;9 760 237;0;9 760 237;6 126 465;6 060 237;0;6 060 237;;;;;;;;
Défense;144;07;Prospective de défense;2;Prospective des systèmes de forces;20 807 820;20 956 921;0;20 956 921;20 807 820;20 956 921;0;20 956 921;;;;;;;;
Défense;144;07;Prospective de défense;3;Etudes amont;742 910 675;680 000 000;0;680 000 000;738 910 675;706 529 875;0;706 529 875;;;;;;;;
Défense;144;07;Prospective de défense;4;Gestion des moyens et subventions;264 187 171;281 698 466;0;281 698 466;264 187 171;276 148 466;0;276 148 466;;;;;;;;
Défense;144;08;Relations internationales et diplomatie de défense;0;Gestion des moyens et subventions;35 407 736;40 759 747;0;40 759 747;35 407 736;40 759 747;0;40 759 747;;;;;;;;
Défense;146;06;Dissuasion;0;Gestion des moyens et subventions;2 962 834 523;3 720 967 951;0;3 720 967 951;2 587 404 774;2 889 654 015;0;2 889 654 015;;;;;;;;
Défense;146;06;Dissuasion;14;Assurer la crédibilité technique de la dissuasion M51;411 011 046;163 103 481;0;163 103 481;610 913 670;463 818 035;0;463 818 035;;;;;;;;
Défense;146;06;Dissuasion;15;Assurer la crédibilité technique de la dissuasion SNLE NG : adaptation M51;0;50 700 000;0;50 700 000;190 919 706;189 112 851;0;189 112 851;;;;;;;;
Défense;146;06;Dissuasion;17;Assurer la crédibilité technique de la dissuasion - Air sol moyenne portée amélioré (ASMPA);16 264 796;402 240 239;0;402 240 239;26 582 615;42 619 166;0;42 619 166;;;;;;;;
Défense;146;06;Dissuasion;18;Assurer la crédibilité technique de la dissuasion Simulation;479 946 802;526 800 085;0;526 800 085;505 336 200;488 519 787;0;488 519 787;;;;;;;;
Défense;146;06;Dissuasion;19;Assurer la crédibilité technique de la dissuasion - Autres opérations;526 977 365;854 964 729;0;854 964 729;570 001 729;660 517 021;0;660 517 021;;;;;;;;
Défense;146;06;Dissuasion;22;Assurer la crédibilité opérationnelle de la dissuasion - soutien et mise en oeuvre des forces - toutes opérations;1 097 459 785;737 292 222;0;737 292 222;636 145 954;733 341 709;0;733 341 709;;;;;;;;
Défense;146;06;Dissuasion;23;Assurer la crédibilité technique de la posture - toutes opérations;431 174 729;216 867 195;0;216 867 195;47 504 900;265 160 430;0;265 160 430;;;;;;;;
Défense;146;06;Dissuasion;24;Assurer la crédibilité technique de la dissuasion  SNLE 3G;0;769 000 000;0;769 000 000;0;46 565 016;0;46 565 016;;;;;;;;
Défense;146;07;Commandement et maîtrise de l'information;0;Assurer la crédibilité technique de la dissuasion  SNLE 3G;4 073 931 183;2 162 576 674;0;2 162 576 674;558 846 785;1 843 042 591;0;1 843 042 591;;;;;;;;
