Phase;Type de mission;Mission;Code Programme;Programme;Code Action;Action;Code Sous-Action;Sous-Action;AE PLF 2019;CP PLF 2019;Code Ministère;Ministère
PLF 2019;Budget général;Cohésion des territoires;135;Urbanisme, territoires et amélioration de l'habitat;3;Lutte contre l'habitat indigne;;;25 200 000;28 125 283;45;Cohésion des territoires
PLF 2019;Budget général;Cohésion des territoires;135;Urbanisme, territoires et amélioration de l'habitat;4;Réglementation, politique technique et qualité de la construction;;;160 972 968;160 972 968;45;Cohésion des territoires
PLF 2019;Budget général;Cohésion des territoires;135;Urbanisme, territoires et amélioration de l'habitat;5;Soutien;;;22 985 972;18 485 972;45;Cohésion des territoires
PLF 2019;Budget général;Cohésion des territoires;135;Urbanisme, territoires et amélioration de l'habitat;7;Urbanisme et aménagement;;;61 124 866;62 699 583;45;Cohésion des territoires
PLF 2019;Budget général;Cohésion des territoires;135;Urbanisme, territoires et amélioration de l'habitat;8;Grand Paris;;;;;45;Cohésion des territoires
PLF 2019;Budget général;Cohésion des territoires;112;Impulsion et coordination de la politique d'aménagement du territoire;1;Attractivité économique et compétitivité des territoires;;;60 676 265;82 098 992;45;Cohésion des territoires
PLF 2019;Budget général;Cohésion des territoires;112;Impulsion et coordination de la politique d'aménagement du territoire;2;Développement solidaire et équilibré des territoires;;;110 831 412;130 823 968;45;Cohésion des territoires
PLF 2019;Budget général;Cohésion des territoires;112;Impulsion et coordination de la politique d'aménagement du territoire;4;Instruments de pilotage et d'étude;;;30 149 372;30 149 372;45;Cohésion des territoires
PLF 2019;Budget général;Cohésion des territoires;162;Interventions territoriales de l'État;2;Eau - Agriculture en Bretagne;;;2 294 119;1 793 638;12;Services du Premier ministre
PLF 2019;Budget général;Cohésion des territoires;162;Interventions territoriales de l'État;4;Programme exceptionnel d'investissements en faveur de la Corse;;;27 429 687;17 936 385;12;Services du Premier ministre
PLF 2019;Budget général;Cohésion des territoires;162;Interventions territoriales de l'État;6;Plan gouvernemental sur le Marais Poitevin - Poitou Charentes;;;;1 594 345;12;Services du Premier ministre
PLF 2019;Budget général;Cohésion des territoires;162;Interventions territoriales de l'État;8;Plan chlordécone en Martinique et en Guadeloupe;;;1 994 886;1 992 932;12;Services du Premier ministre
PLF 2019;Budget général;Cohésion des territoires;162;Interventions territoriales de l'État;9;Plan littoral 21;;;3 989 773;2 491 165;12;Services du Premier ministre
PLF 2019;Budget général;Cohésion des territoires;147;Politique de la ville;1;Actions territorialisées et Dispositifs spécifiques de la politique de la ville;;;419 398 245;419 398 245;45;Cohésion des territoires
PLF 2019;Budget général;Cohésion des territoires;147;Politique de la ville;2;Revitalisation économique et emploi;;;44 250 000;44 250 000;45;Cohésion des territoires
PLF 2019;Budget général;Cohésion des territoires;147;Politique de la ville;3;Stratégie, ressources et évaluation;;;24 419 002;24 419 002;45;Cohésion des territoires
PLF 2019;Budget général;Cohésion des territoires;147;Politique de la ville;4;Rénovation urbaine et amélioration du cadre de vie;;;185 000 000;25 000 000;45;Cohésion des territoires
PLF 2019;Budget général;Conseil et contrôle de l'État;165;Conseil d'État et autres juridictions administratives;1;Fonction juridictionnelle : Conseil d'État;;;28 602 753;28 602 753;12;Services du Premier ministre
PLF 2019;Budget général;Conseil et contrôle de l'État;165;Conseil d'État et autres juridictions administratives;2;Fonction juridictionnelle : Cours administratives d'appel;;;55 133 770;55 133 770;12;Services du Premier ministre
PLF 2019;Budget général;Conseil et contrôle de l'État;165;Conseil d'État et autres juridictions administratives;3;Fonction juridictionnelle : Tribunaux administratifs;;;164 328 287;164 328 287;12;Services du Premier ministre
PLF 2019;Budget général;Conseil et contrôle de l'État;165;Conseil d'État et autres juridictions administratives;4;Fonction consultative;;;16 142 618;16 142 618;12;Services du Premier ministre
PLF 2019;Budget général;Conseil et contrôle de l'État;165;Conseil d'État et autres juridictions administratives;5;Fonction études, expertise et services rendus aux administrations de l'État et des collectivités;;;8 253 111;8 253 111;12;Services du Premier ministre
PLF 2019;Budget général;Conseil et contrôle de l'État;165;Conseil d'État et autres juridictions administratives;6;Soutien;;;174 210 174;110 816 766;12;Services du Premier ministre
PLF 2019;Budget général;Conseil et contrôle de l'État;165;Conseil d'État et autres juridictions administratives;7;Cour nationale du droit d'asile;;;36 768 818;36 768 818;12;Services du Premier ministre
PLF 2019;Budget général;Conseil et contrôle de l'État;126;Conseil économique, social et environnemental;1;Représentation des activités économiques et sociales;;;27 101 854;27 101 854;12;Services du Premier ministre
PLF 2019;Budget général;Conseil et contrôle de l'État;126;Conseil économique, social et environnemental;2;Fonctionnement de l'institution;;;11 675 023;11 675 023;12;Services du Premier ministre
PLF 2019;Budget général;Conseil et contrôle de l'État;126;Conseil économique, social et environnemental;3;Communication et international;;;1 456 442;1 456 442;12;Services du Premier ministre
PLF 2019;Budget général;Conseil et contrôle de l'État;164;Cour des comptes et autres juridictions financières;21;Examen des comptes publics;;;41 713 478;41 713 478;12;Services du Premier ministre
PLF 2019;Budget général;Conseil et contrôle de l'État;164;Cour des comptes et autres juridictions financières;22;Contrôle des finances publiques;;;16 514 581;16 514 581;12;Services du Premier ministre
PLF 2019;Budget général;Conseil et contrôle de l'État;164;Cour des comptes et autres juridictions financières;23;Contrôle des gestions publiques;;;62 516 796;62 516 796;12;Services du Premier ministre
PLF 2019;Budget général;Conseil et contrôle de l'État;164;Cour des comptes et autres juridictions financières;24;Evaluation des politiques publiques;;;36 069 781;36 069 781;12;Services du Premier ministre
PLF 2019;Budget général;Conseil et contrôle de l'État;164;Cour des comptes et autres juridictions financières;25;Information des citoyens;;;7 525 917;7 525 917;12;Services du Premier ministre
PLF 2019;Budget général;Conseil et contrôle de l'État;164;Cour des comptes et autres juridictions financières;26;Mise en jeu de la responsabilité des comptables publics et des gestionnaires publics;;;4 920 178;4 920 178;12;Services du Premier ministre
PLF 2019;Budget général;Conseil et contrôle de l'État;164;Cour des comptes et autres juridictions financières;27;Pilotage et soutien des juridictions financières;;;62 890 374;50 593 374;12;Services du Premier ministre
PLF 2019;Budget général;Conseil et contrôle de l'État;340;Haut Conseil des finances publiques;1;Haut Conseil des finances publiques;;;428 189;428 189;12;Services du Premier ministre
PLF 2019;Budget général;Crédits non répartis;551;Provision relative aux rémunérations publiques;1;Provision relative aux rémunérations publiques;;;79 000 000;79 000 000;7;Action et comptes publics
PLF 2019;Budget général;Crédits non répartis;552;Dépenses accidentelles et imprévisibles;1;Dépenses accidentelles et imprévisibles;;;424 000 000;124 000 000;7;Action et comptes publics
PLF 2019;Budget général;Culture;175;Patrimoines;1;Monuments Historiques et patrimoine monumental;;;470 991 847;345 746 113;2;Culture
PLF 2019;Budget général;Culture;175;Patrimoines;2;Architecture et espaces protégés;;;32 226 588;32 226 588;2;Culture
PLF 2019;Budget général;Culture;175;Patrimoines;3;Patrimoine des musées de France;;;348 431 067;338 911 215;2;Culture
PLF 2019;Budget général;Culture;175;Patrimoines;4;Patrimoine archivistique et célébrations nationales;;;30 329 110;30 021 271;2;Culture
PLF 2019;Budget général;Culture;175;Patrimoines;8;Acquisition et enrichissement des collections publiques;;;9 775 311;9 775 311;2;Culture
