GESTION;2018;;;;;;;;
TYPE BUDGET;Budget général;;;;;;;;
;;;;;;Données;;;
Mission;Programme;Action;Libellé action;Sous-action;Libellé SSA;AELF 2017;AEPLF; CPLF 2017; CPPLF
Conseil et contrôle de l'État;165;05;Fonction études, expertise et services rendus aux administrations de l'État et des collectivités;;;16 426 720;16 607 615;16 426 720;16 607 615
Conseil et contrôle de l'État;165;06;Soutien;;;120 117 728;122 035 406;103 277 557;107 908 881
Conseil et contrôle de l'État;165;07;Cour nationale du droit d'asile;;;25 924 867;28 190 732;25 924 867;28 190 732
Conseil et contrôle de l'État;340;01;Haut Conseil des finances publiques;;;454 144;467 481;454 144;467 481
Crédits non répartis;551;01;Provision relative aux rémunérations publiques;;;0;290 533 189;0;290 533 189
Crédits non répartis;552;01;Dépenses accidentelles et imprévisibles;;;324 000 000;424 000 000;24 000 000;124 000 000
Culture;131;01;Soutien à la création, à la production et à la diffusion du spectacle vivant;;;706 489 403;739 462 885;701 274 709;704 915 885
Culture;131;02;Soutien à la création, à la production et à la diffusion des arts plastiques;;;90 538 040;109 053 706;77 186 141;73 978 514
Culture;175;01;Monuments Historiques et patrimoine monumental;;;371 858 988;376 532 802;334 466 562;332 908 289
Culture;175;02;Architecture et espaces protégés;;;31 681 624;32 130 588;31 671 624;32 130 588
Culture;175;03;Patrimoine des musées de France;;;376 448 492;337 276 995;358 291 128;350 574 581
Culture;175;04;Patrimoine archivistique et célébrations nationales;;;36 206 604;32 607 793;29 207 130;36 536 187
Culture;175;07;Patrimoine linguistique;;;3 223 833;3 224 338;3 223 833;3 224 338
Culture;175;08;Acquisition et enrichissement des collections publiques;;;9 990 311;9 490 311;9 990 311;9 490 311
Culture;175;09;Patrimoine archéologique;;;135 958 590;135 960 196;132 994 242;132 460 196
Culture;224;01;Soutien aux établissements d'enseignement supérieur et insertion professionnelle;;;264 001 886;264 956 389;274 301 886;265 303 457
Culture;224;02;Soutien à la démocratisation et à l'éducation artistique et culturelle;;;119 168 406;173 368 406;119 168 406;173 368 406
Culture;224;06;Action culturelle internationale;;;8 392 159;8 938 159;8 392 159;8 938 159
Culture;224;07;Fonctions de soutien du ministère;;;784 448 266;794 061 457;776 404 954;793 232 485
Culture;224;08;Développement et professionnalisation de l'emploi dans le spectacle;;;90 000 000;90 000 000;55 000 000;25 000 000
Défense;144;03;Recherche et exploitation du renseignement intéressant la sécurité de la France;31;Renseignement extérieur;310 532 501;306 383 771;243 832 501;295 624 227
Défense;144;03;Recherche et exploitation du renseignement intéressant la sécurité de la France;32;Renseignement de sécurité de défense;13 536 615;13 943 890;13 536 615;13 943 890
Défense;144;07;Prospective de défense;01;Analyse stratégique;4 580 308;9 411 620;6 213 641;9 411 621
Défense;144;07;Prospective de défense;02;Prospective des systèmes de forces;21 315 050;21 643 498;21 315 050;21 643 498
Défense;144;07;Prospective de défense;03;Etudes amont;856 740 000;759 895 082;720 434 123;723 189 498
Défense;144;07;Prospective de défense;04;Gestion des moyens et subventions;281 278 527;288 965 412;286 828 527;288 965 412
Défense;144;08;Relations internationales et diplomatie de défense;;;43 794 441;42 873 613;43 794 441;42 873 613
Défense;146;06;Dissuasion;14;Assurer la crédibilité technique de la dissuasion M51;199 589 290;180 757 191;582 125 402;645 268 828
Défense;146;06;Dissuasion;15;Assurer la crédibilité technique de la dissuasion SNLE NG : adaptation M51;0;0;219 214 730;69 171 782
Défense;146;06;Dissuasion;17;Assurer la crédibilité technique de la dissuasion - Air sol moyenne portée amélioré (ASMPA);108 939 719;33 093 480;62 008 395;77 757 029
Défense;146;06;Dissuasion;18;Assurer la crédibilité technique de la dissuasion Simulation;501 775 783;504 237 342;528 157 899;493 922 829
Défense;146;06;Dissuasion;19;Assurer la crédibilité technique de la dissuasion - Autres opérations;645 361 966;730 478 234;649 850 323;746 980 767
Défense;146;06;Dissuasion;22;Assurer la crédibilité opérationnelle de la dissuasion - soutien et mise en oeuvre des forces - toutes opérations;778 075 703;964 696 562;746 494 453;745 931 907
Défense;146;06;Dissuasion;23;Assurer la crédibilité technique de la posture - toutes opérations;143 435 053;455 433 378;256 633 996;291 250 387
Défense;146;06;Dissuasion;24;Assurer la crédibilité technique de la dissuasion – SNLE 3G;0;0;117 733 692;176 056 977
Défense;146;07;Commandement et maîtrise de l'information;24;Commander et conduire - Système de commandement et de conduite des opérations aériennes (SCCOA);41 900 000;39 900 000;222 216 996;183 525 884
Défense;146;07;Commandement et maîtrise de l'information;25;Commander et conduire - Système d'information TERRE;7 260 000;171 000 000;52 345 333;39 003 061
Défense;146;07;Commandement et maîtrise de l'information;27;Commander et conduire - Géographie numérique;281 349 040;222 000 000;55 317 486;58 928 895
Défense;146;07;Commandement et maîtrise de l'information;28;Commander et conduire - Autres opérations;258 624 322;283 225 913;37 500 607;40 617 218
Défense;146;07;Commandement et maîtrise de l'information;29;Commander et conduire - Système d'information des armées (SIA);0;0;100 293 242;94 533 905
Défense;146;07;Commandement et maîtrise de l'information;32;Communiquer - Moyens de communication satellitaire;578 553 000;582 380 000;193 518 629;217 662 796
Défense;146;07;Commandement et maîtrise de l'information;35;Communiquer - Autres opérations;242 672 800;254 780 000;256 669 837;248 905 630
Défense;146;07;Commandement et maîtrise de l'information;36;Communiquer - CONTACT;0;1 032 200 000;150 948 997;148 242 445
Défense;146;07;Commandement et maîtrise de l'information;39;Renseigner, surveiller, acquérir et reconnaître - Autres opérations;68 271 786;742 611 602;345 392 723;364 092 999
Défense;146;07;Commandement et maîtrise de l'information;40;Renseigner, surveiller, acquérir et reconnaître - MUSIS;0;0;138 066 345;77 684 523
Défense;146;07;Commandement et maîtrise de l'information;41;Communiquer - DESCARTES;0;0;48 589 084;60 391 736
Défense;146;07;Commandement et maîtrise de l'information;42;Renseigner, surveiller, acquérir et reconnaître - CERES;0;0;70 134 546;60 125 692
Défense;146;08;Projection - mobilité - soutien;42;Projeter les forces - Avion de transport futur (A400M);57 923 333;49 190 456;325 774 240;190 802 077
Défense;146;08;Projection - mobilité - soutien;43;Projeter les forces - Autres opérations;180 649 126;178 418 312;203 787 748;268 171 373
Défense;146;08;Projection - mobilité - soutien;46;Assurer la mobilité - Rénovation Cougar;0;0;31 594 801;11 161 407
Défense;146;08;Projection - mobilité - soutien;47;Assurer la mobilité - Hélicoptère NH 90;0;32 300 000;337 029 587;445 710 515
Défense;146;08;Projection - mobilité - soutien;48;Assurer la mobilité - Autres opérations;347 689 121;182 447 025;77 766 016;125 768 595
Défense;146;08;Projection - mobilité - soutien;51;Maintenir le potentiel ami et autre - Porteur polyvalent terrestre (PPT);0;0;78 221 603;18 694 784
Défense;146;08;Projection - mobilité - soutien;53;Maintenir le potentiel ami et autre - Autres opérations;29 616 794;28 638 128;49 779 100;59 526 610
Défense;146;08;Projection - mobilité - soutien;55;Maintenir le potentiel ami et autre - MRTT;0;650 000 000;180 806 077;279 368 468
Défense;146;09;Engagement et combat;56;Frapper à distance - Missile de croisière naval (MDCN);0;0;57 861 799;63 007 824
Défense;146;09;Engagement et combat;59;Frapper à distance - RAFALE;59 330 489;1 178 969 959;482 997 888;585 099 441
Défense;146;09;Engagement et combat;61;Frapper à distance - Autres opérations;68 209 571;54 947 146;293 634 798;426 111 278
Défense;146;09;Engagement et combat;66;Opérer en milieu hostile - Véhicule blindé de combat d'infanterie (VBCI);0;0;48 381 979;45 883 531
Défense;146;09;Engagement et combat;68;Opérer en milieu hostile - Hélicoptère HAP/HAD TIGRE;26 360 000;47 270 000;299 817 626;216 667 986
Défense;146;09;Engagement et combat;69;Opérer en milieu hostile - Future torpille lourde (FTL);0;106 730 000;53 382 770;51 695 542
Défense;146;09;Engagement et combat;71;Opérer en milieu hostile - Evolution Exocet;0;130 300 000;33 859 118;47 049 683
Défense;146;09;Engagement et combat;73;Opérer en milieu hostile - Frégates multi-missions (FREMM);682 000 000;358 530 000;306 268 872;297 899 315
Défense;146;09;Engagement et combat;74;Opérer en milieu hostile - SNA Barracuda;950 000 000;1 140 000 000;571 698 594;563 977 397
Défense;146;09;Engagement et combat;75;Opérer en milieu hostile - Autres opérations et conduire des opérations spéciales;3 079 616 112;608 444 147;776 733 093;587 244 744
Défense;146;09;Engagement et combat;77;Opérer en milieu hostile -  SCORPION;100 000 000;1 001 432 625;190 787 391;274 318 262
Défense;146;09;Engagement et combat;78;Frapper à distance - Mirage 2000;85 585 271;190 574 456;143 930 750;125 613 014
Défense;146;09;Engagement et combat;88;Opérer en milieu hostile - missile moyenne portée MMP;0;0;86 846 894;98 707 086
Défense;146;09;Engagement et combat;89;Opérer en milieu hostile - Frégates de taille intermédiaire;0;0;0;125 216 449
Défense;146;10;Protection et sauvegarde;79;Assurer la sûreté des approches - Autres opérations et assurer la sécurité de l'Etat, de la nation et des citoyens;302 520 691;1 217 121 095;204 045 573;147 481 248
Défense;146;10;Protection et sauvegarde;80;Assurer la sûreté des approches - Alerte avancée;0;0;0;0
Défense;146;10;Protection et sauvegarde;82;Assurer la protection des forces et des sites - Famille de systèmes sol-air futurs (FSAF);0;0;90 235 677;45 486 745
Défense;146;10;Protection et sauvegarde;86;Assurer la protection des forces et des sites - Autres opérations et assurer la protection de l'homme;105 050 082;93 852 809;97 763 394;97 087 008
Défense;146;11;Préparation et conduite des opérations d'armement;89;Fonctionnement et soutien DGA;82 428 072;72 033 590;84 903 182;89 134 625
Défense;146;11;Préparation et conduite des opérations d'armement;90;Investissements pour les opérations d'armement;127 461 825;143 000 000;110 250 529;116 304 845
Défense;146;12;Parts étrangères et programmes civils;96;Parts étrangères;0;0;0;0
Défense;146;12;Parts étrangères et programmes civils;97;Programmes civils;0;0;0;0
Défense;178;01;Planification  des moyens et conduite des opérations;10;Emploi des forces;257 830 822;282 385 295;252 776 493;276 955 475
Défense;178;01;Planification  des moyens et conduite des opérations;11;Renseignement d'intérêt militaire;45 501 137;53 498 048;44 608 957;52 449 067
Défense;178;01;Planification  des moyens et conduite des opérations;14;Systèmes d'information et de communication;177 865 064;186 741 352;187 220 652;195 952 031
Défense;178;02;Préparation des forces terrestres;01;Commandement et activités des forces terrestres;177 354 016;158 929 405;174 834 089;156 746 828
Défense;178;02;Préparation des forces terrestres;05;Ressources humaines des forces terrestres;79 956 006;80 927 500;78 382 598;79 311 274
