Type de mission;Code type de mission;Mission;Code mission;Programme;Code programme;Action;Code action;Sous-action;Code sous-action;Autorisations d'engagement;Crédits de paiement
Budget général;1;Défense;DA;Soutien de la politique de la défense;212;Surcoûts liés aux opérations - Personnel travaillant pour le programme "Préparation et emploi des forces";59;Surcoûts liés aux opérations intérieures;2;41000000;41000000
Budget général;1;Défense;DA;Soutien de la politique de la défense;212;Action sociale, chômage et pensions;61;Actions sociales et autres politiques des ressources humaines;1;173757736;173757736
Budget général;1;Défense;DA;Soutien de la politique de la défense;212;Action sociale, chômage et pensions;61;Reconversion des personnels militaires - Chômage;2;128784691;128784691
Budget général;1;Défense;DA;Soutien de la politique de la défense;212;Action sociale, chômage et pensions;61;Reconversion des personnels civils - Chômage;3;4984560;4984560
Budget général;1;Défense;DA;Soutien de la politique de la défense;212;Restructurations - RH;63;Restructurations Personnels civils;1;53080756;53080756
Budget général;1;Défense;DA;Soutien de la politique de la défense;212;Restructurations - RH;63;Restructurations Personnels militaires;2;61161465;61161465
Budget général;1;Défense;DA;Soutien de la politique de la défense;212;Pilotage, soutien  -  Personnel travaillant pour l'action " Pilotage, soutien ";64;Personnel du SGA employeur;1;309167772;309167772
Budget général;1;Défense;DA;Soutien de la politique de la défense;212;Pilotage, soutien  -  Personnel travaillant pour l'action " Pilotage, soutien ";64;Personnel de l'action sociale;7;58885934;58885934
Budget général;1;Défense;DA;Soutien de la politique de la défense;212;Pilotage, soutien  -  Personnel travaillant pour l'action " Pilotage, soutien ";64;Personnel de l'agence de reconversion de la Défense;8;48073267;48073267
Budget général;1;Défense;DA;Soutien de la politique de la défense;212;Rayonnement et contribution extérieure;66;Pilotage, soutien et communication - effectifs sortants remboursés sous PMEA Mindef;1;0;0
Budget général;1;Défense;DA;Soutien de la politique de la défense;212;Rayonnement et contribution extérieure;66;Pilotage, soutien et communication - effectifs sortants non remboursés sous PMEA Mindef;2;22949599;22949599
Budget général;1;Défense;DA;Soutien de la politique de la défense;212;Rayonnement et contribution extérieure;66;Pilotage, soutien et communication - effectifs sortants remboursés hors PMEA Mindef;3;0;0
Budget général;1;Défense;DA;Soutien de la politique de la défense;212;Rayonnement et contribution extérieure;66;Pilotage, soutien et communication - Présidence de la République;4;0;0
Budget général;1;Défense;DA;Soutien de la politique de la défense;212;Rayonnement et contribution extérieure;66;Pilotage, soutien et communication -  Elèves des classes préparatoires des lycées de la défense;5;1168073;1168073
Budget général;1;Défense;DA;Soutien de la politique de la défense;212;Pilotage, soutien et communication - dépenses de personnel des cabinets et des organismes rattachés / RH;67;Sous-Direction des Bureau des Cabinets - Cabinet du Ministre de la Défense - Cabinet du Secrétaire d'Etat aux anciens combattants - Bureau des Officiers Généraux;1;39320386;39320386
Budget général;1;Défense;DA;Soutien de la politique de la défense;212;Pilotage, soutien et communication - dépenses de personnel des cabinets et des organismes rattachés / RH;67;Contrôle général des armées;2;17580169;17580169
Budget général;1;Défense;DA;Soutien de la politique de la défense;212;Pilotage, soutien et communication - dépenses de personnel des cabinets et des organismes rattachés / RH;67;Direction Générale des Systèmes d'Information et de Communication;3;6776371;6776371
Budget général;1;Défense;DA;Soutien de la politique de la défense;212;Pilotage, soutien et communication - dépenses de personnel des cabinets et des organismes rattachés / RH;67;Délégation à l'Information et la Communication de la Défense;4;10748967;10748967
